ORPHA:276413	10q22.3q23.3 microdeletion syndrome
ORPHA:276422	10q22.3q23.3 microduplication syndrome
ORPHA:300305	11p15.4 microduplication syndrome
ORPHA:444002	11q22.2q22.3 microdeletion syndrome
DECIPHER:76	12q14 microdeletion syndrome
ORPHA:94063	12q14 microdeletion syndrome
ORPHA:412035	13q12.3 microdeletion syndrome
ORPHA:261120	14q11.2 microdeletion syndrome
ORPHA:261144	14q12 microdeletion syndrome
ORPHA:264200	14q22q23 microdeletion syndrome
ORPHA:401935	14q24.1q24.3 microdeletion syndrome
ORPHA:238446	15q11q13 microduplication syndrome
DECIPHER:74	15q13.3 microdeletion syndrome
ORPHA:199318	15q13.3 microdeletion syndrome
ORPHA:261190	15q14 microdeletion syndrome
ORPHA:94065	15q24 microdeletion syndrome
DECIPHER:66	15q24 recurrent microdeletion syndrome
DECIPHER:81	15q26 overgrowth syndrome
ORPHA:314585	15q overgrowth syndrome
DECIPHER:68	16p11.2-p12.2 microdeletion syndrome
ORPHA:261211	16p11.2p12.2 microdeletion syndrome
ORPHA:261204	16p11.2p12.2 microduplication syndrome
ORPHA:485405	16p12.1p12.3 triplication syndrome
ORPHA:261236	16p13.11 microdeletion syndrome
ORPHA:261243	16p13.11 microduplication syndrome
ORPHA:500055	16p13.2 microdeletion syndrome
ORPHA:261250	16q24.3 microdeletion syndrome
OMIM:300438	17-@BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY;;HSD17B10 DEFICIENCY;;HSD10 DEFICIENCY;;3-@HYDROXYACYL-CoA DEHYDROGENASE II DEFICIENCY;;2-@METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY;;MHBD DEFICIENCY
ORPHA:1713	17p11.2 microduplication syndrome
ORPHA:217385	17p13.3 microduplication syndrome
ORPHA:139474	17q11.2 microduplication syndrome
ORPHA:261265	17q12 microdeletion syndrome
ORPHA:261272	17q12 microduplication syndrome
ORPHA:217340	17q21.31 microduplication syndrome
DECIPHER:57	17q21.31 recurrent microdeletion syndrome
ORPHA:261279	17q23.1q23.2 microdeletion syndrome
ORPHA:529962	17q24.2 microdeletion syndrome
ORPHA:254346	19p13.12 microdeletion syndrome
ORPHA:357001	19p13.13 microdeletion syndrome
ORPHA:447980	19p13.3 microduplication syndrome
ORPHA:217346	19q13.11 microdeletion syndrome
ORPHA:293948	1p21.3 microdeletion syndrome
ORPHA:1606	1p36 deletion syndrome
DECIPHER:18	1p36 microdeletion syndrome
ORPHA:250989	1q21.1 microdeletion syndrome
ORPHA:250994	1q21.1 microduplication syndrome
DECIPHER:62	1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)
DECIPHER:67	1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders)
ORPHA:250999	1q41q42 microdeletion syndrome
ORPHA:238769	1q44 microdeletion syndrome
ORPHA:261295	20p12.3 microdeletion syndrome
ORPHA:313781	20p13 microdeletion syndrome
ORPHA:444051	20q11.2 microdeletion syndrome
ORPHA:363659	20q11.2 microduplication syndrome
ORPHA:261311	20q13.33 microdeletion syndrome
ORPHA:261323	21q22.11q22.12 microdeletion syndrome
ORPHA:567	22q11.2 deletion syndrome
DECIPHER:72	22q11.2 distal deletion syndrome
ORPHA:1727	22q11.2 duplication syndrome
DECIPHER:16	22q11 deletion syndrome (Velocardiofacial / DiGeorge syndrome)
DECIPHER:32	22q11 duplication syndrome
DECIPHER:20	22q13 deletion syndrome (Phelan-Mcdermid syndrome)
OMIM:616034	2,4-@DIENOYL-CoA REDUCTASE DEFICIENCY; DECRD
OMIM:616034	2,4-DIENOYL-CoA REDUCTASE DEFICIENCY; DECRD
OMIM:600081	25-@HYDROXYVITAMIN D3 DEFICIENCY, SELECTIVE
OMIM:204750	2-AMINOADIPIC 2-OXOADIPIC ACIDURIA
OMIM:204750	2-@AMINOADIPIC 2-OXOADIPIC ACIDURIA; AMOXAD
OMIM:204750	2-AMINOADIPIC 2-OXOADIPIC ACIDURIA; AMOXAD
OMIM:610006	2-@METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY
OMIM:610006	2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY
DECIPHER:70	2p15-16.1 microdeletion syndrome
ORPHA:261349	2p15p16.1 microdeletion syndrome
ORPHA:163693	2p21 microdeletion syndrome
ORPHA:228402	2q23.1 microdeletion syndrome
ORPHA:313947	2q23.1 microduplication syndrome
ORPHA:1617	2q24 microdeletion syndrome
ORPHA:251014	2q31.1 microdeletion syndrome
ORPHA:251019	2q32q33 microdeletion syndrome
DECIPHER:51	2q33.1 deletion syndrome
ORPHA:1001	2q37 microdeletion syndrome
DECIPHER:44	2q37 monosomy
OMIM:201810	3-@BETA-HYDROXYSTEROID DEHYDROGENASE, TYPE II, DEFICIENCY OF;;3-@BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY;;3-@BETA-HSD DEFICIENCY; HSDB;;ADRENAL HYPERPLASIA II
ORPHA:7	3C syndrome
ORPHA:20	3-hydroxy-3-methylglutaric aciduria
OMIM:246450	3-@HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY
OMIM:246450	3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY; HMGCLD
OMIM:246450	3-@HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY; HMGCLD;;HMG-CoA LYASE DEFICIENCY;;HMGCL DEFICIENCY;;HL DEFICIENCY;;HYDROXYMETHYLGLUTARIC ACIDURIA
OMIM:605911	3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE-2 DEFICIENCY
ORPHA:35701	3-hydroxy-3-methylglutaryl-CoA synthase deficiency
OMIM:231530	3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY
OMIM:231530	3-@HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY
OMIM:231530	3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY
ORPHA:939	3-hydroxyisobutyric aciduria
OMIM:236795	3-@HYDROXYISOBUTYRIC ACIDURIA
OMIM:250620	3-HYDROXYISOBUTYRYL-COA HYDROLASE DEFICIENCY
OMIM:250620	3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY; HIBCHD
OMIM:250620	3-@HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY; HIBCHD;;BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; HIBCH DEFICIENCY;;METHACRYLIC ACIDURIA;;METHACRYLIC ACID TOXICITY;;VALINE METABOLIC DEFECT
OMIM:250620	3-@HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY; HIBCHD;;BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY;;HIBCH DEFICIENCY;;METHACRYLIC ACIDURIA;;METHACRYLIC ACID TOXICITY;;VALINE METABOLIC DEFECT
ORPHA:293843	3MC syndrome
OMIM:257920	3MC SYNDROME 1
OMIM:257920	3MC SYNDROME 1; 3MC1;;OCULOPALATOSKELETAL SYNDROME;;CRANIOSYNOSTOSIS WITH LID ANOMALIES;;MICHELS SYNDROME, FORMERLY
OMIM:265050	3MC SYNDROME 2
OMIM:265050	3MC SYNDROME 2; 3MC2;;PTOSIS OF EYELIDS WITH DIASTASIS RECTI AND HIP DYSPLASIA;;OCULO-SKELETAL-ABDOMINAL SYNDROME;;OSA SYNDROME;;CARNEVALE SYNDROME, FORMERLY
OMIM:248340	3MC syndrome 3
OMIM:210200	3-@METHYLCROTONYL-COA CARBOXYLASE 1 DEFICIENCY
OMIM:210200	3-METHYLCROTONYL-COA CARBOXYLASE 1 DEFICIENCY
OMIM:210200	3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY; MCC1D
OMIM:210210	3-@METHYLCROTONYL-COA CARBOXYLASE 2 DEFICIENCY
OMIM:210210	3-METHYLCROTONYL-COA CARBOXYLASE 2 DEFICIENCY
OMIM:210210	3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY; MCC2D
ORPHA:6	3-methylcrotonyl-CoA carboxylase deficiency
ORPHA:67046	3-methylglutaconic aciduria type 1
ORPHA:67047	3-methylglutaconic aciduria type 3
ORPHA:67048	3-methylglutaconic aciduria type 4
ORPHA:445038	3-methylglutaconic aciduria type 7
ORPHA:505216	3-methylglutaconic aciduria type 9
OMIM:250950	3-methylglutaconic aciduria, type I
OMIM:258501	3-@METHYLGLUTACONIC ACIDURIA, TYPE III
OMIM:258501	3-@METHYLGLUTACONIC ACIDURIA, TYPE III; MGCA3;;MGA, TYPE III; MGA3;;OPTIC ATROPHY PLUS SYNDROME;;OPTIC ATROPHY, INFANTILE, WITH CHOREA AND SPASTIC PARAPLEGIA;;IRAQI-JEWISH 'OPTIC ATROPHY PLUS';;COSTEFF SYNDROME;;OPTIC ATROPHY 3, AUTOSOMAL RECESSIVE;;OPA3, AUTOSOMAL RECESSIVE
OMIM:250951	3-@METHYLGLUTACONIC ACIDURIA, TYPE IV
OMIM:250951	3-@METHYLGLUTACONIC ACIDURIA, TYPE IV; MGCA4;;MGA, TYPE IV; MGA4
OMIM:617698	3-METHYLGLUTACONIC ACIDURIA, TYPE IX; MGCA9
OMIM:610198	3-@METHYLGLUTACONIC ACIDURIA, TYPE V
OMIM:617248	3-METHYLGLUTACONIC ACIDURIA, TYPE VIII
OMIM:617248	3-METHYLGLUTACONIC ACIDURIA, TYPE VIII; MGCA8
OMIM:610198	3-@METHYLGLUTACONIC ACIDURIA, TYPE V; MGCA5;;CARDIOMYOPATHY, DILATED, WITH ATAXIA; DCMA;;MGA, TYPE V; MGA5
OMIM:616271	3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA; MEGCANN
OMIM:616271	3-@METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT,AND NEUTROPENIA; MEGCANN;;3-@METHYLGLUTACONIC ACIDURIA, TYPE VII; MGCA7
OMIM:614739	3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME
OMIM:614739	3-@METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKESYNDROME; MEGDEL
OMIM:614739	3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME; MEGDEL
OMIM:614739	3-@METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKESYNDROME; MEGDEL;;3-@METHYLGLUTACONIC ACIDURIA, TYPE VI; MGCA6
ORPHA:2616	3M syndrome
ORPHA:435638	3p25.3 microdeletion syndrome
ORPHA:79351	3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form
ORPHA:79350	3-phosphoserine phosphatase deficiency, infantile/juvenile form
ORPHA:1621	3q13 microdeletion syndrome
ORPHA:397695	3q27.3 microdeletion syndrome
DECIPHER:37	3q29 microdeletion syndrome
ORPHA:65286	3q29 microdeletion syndrome
ORPHA:251038	3q29 microduplication syndrome
ORPHA:1772	45,X/46,XY mixed gonadal dysgenesis
ORPHA:2973	46,XX disorder of sex development-anorectal anomalies syndrome
ORPHA:2975	46,XX disorder of sex development-skeletal anomalies syndrome
ORPHA:243	46,XX gonadal dysgenesis
ORPHA:2138	46,XX ovotesticular disorder of sex development
OMIM:400045	46XX sex reversal 1
OMIM:278850	46,XX SEX REVERSAL 2
OMIM:278850	46,XX SEX REVERSAL 2; SRXX2;;CHROMOSOME 17q24 DUPLICATION SYNDROME
OMIM:278850	46,XX SEX REVERSAL 2; SRXX2;;CHROMOSOME 17Q24 DUPLICATION SYNDROME
OMIM:300833	46,XX SEX REVERSAL 3; SRXX3;;CHROMOSOME Xq26 DUPLICATION SYNDROME;;46,XX SEX REVERSAL, SOX3-RELATEDCHROMOSOME Xq26 DELETION SYNDROME, INCLUDED
OMIM:617480	46,XX SEX REVERSAL 4; SRXX4
OMIM:618901	46,XX sex reversal 5
OMIM:611812	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS
OMIM:611812	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS; SERKAL
ORPHA:393	46,XX testicular disorder of sex development
ORPHA:242	46,XY complete gonadal dysgenesis
ORPHA:168558	46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency
ORPHA:752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency
ORPHA:753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency
ORPHA:90796	46,XY disorder of sex development due to isolated 17,20-lyase deficiency
ORPHA:168563	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome
OMIM:607080	46,XY GONADAL DYSGENESIS, PARTIAL, WITH MINIFASCICULAR NEUROPATHY
ORPHA:325345	46,XY ovotesticular disorder of sex development
ORPHA:251510	46,XY partial gonadal dysgenesis
OMIM:400044	46XY sex reversal 1
OMIM:616425	46,XY SEX REVERSAL 10; SRXY10
OMIM:616425	46,XY SEX REVERSAL 10; SRXY10;;CHROMOSOME 17q24 DELETION SYNDROME
OMIM:616425	46,XY SEX REVERSAL 10; SRXY10;;CHROMOSOME 17Q24 DELETION SYNDROME
OMIM:273250	46, XY sex reversal 11
OMIM:612965	46,XY SEX REVERSAL 3
OMIM:612965	46,XY SEX REVERSAL 3; SRXY3;;46,XY SEX REVERSAL, PARTIAL OR COMPLETE, NR5A1-RELATED;;46,XY GONADAL DYSGENESIS, COMPLETE OR PARTIAL, WITH OR WITHOUT ADRENALFAILURE;;SEX REVERSAL, XY, WITH OR WITHOUT ADRENAL FAILURE;;DISORDER OF SEX DEVELOPMENT, 46,XY
OMIM:154230	46,XY SEX REVERSAL 4; SRXY4
OMIM:613080	46XY sex reversal 5
OMIM:613762	46,XY SEX REVERSAL 6; SRXY6
OMIM:613762	46,XY SEX REVERSAL 6; SRXY6;;46,XY SEX REVERSAL, PARTIAL OR COMPLETE, MAP3K1-RELATED;;46,XY GONADAL DYSGENESIS, COMPLETE OR PARTIAL, MAP3K1-RELATED
OMIM:233420	46,XY SEX REVERSAL 7
OMIM:233420	46,XY SEX REVERSAL 7; SRXY7;;46,XY SEX REVERSAL, PARTIAL OR COMPLETE, DHH-RELATED;;46,XY GONADAL DYSGENESIS, COMPLETE OR PARTIAL, DHH-RELATED;;GONADAL DYSGENESIS, XY, MALE-LIMITED; GDXYM
OMIM:614279	46,XY SEX REVERSAL 8; SRXY8;;MALE PSEUDOHERMAPHRODITISM DUE TO DEFICIENCY OF TESTICULAR 17,20-DESMOLASE;TDD
OMIM:616067	46,XY SEX REVERSAL 9; SRXY9
ORPHA:8	47,XYY syndrome
ORPHA:96263	48,XXXY syndrome
ORPHA:10	48,XXYY syndrome
ORPHA:99329	48,XYYY syndrome
ORPHA:96264	49,XXXXY syndrome
ORPHA:261534	49,XXXYY syndrome
ORPHA:99330	49,XYYYY syndrome
ORPHA:238750	4q21 microdeletion syndrome
OMIM:260005	5-OXOPROLINASE DEFICIENCY
OMIM:260005	5-@OXOPROLINASE DEFICIENCY; OPLAHD
ORPHA:228384	5q14.3 microdeletion syndrome
ORPHA:228415	5q35 microduplication syndrome
OMIM:616503	*616503 LETHAL CONGENITAL CONTRACTURE SYNDROME 9; LCCS9
ORPHA:251046	6p22 microdeletion syndrome
OMIM:172150	6-@PHOSPHOGLUCONOLACTONASE DEFICIENCY
OMIM:261640	6-@PYRUVOYLTETRAHYDROPTERIN SYNTHASE
ORPHA:13	6-pyruvoyl-tetrahydropterin synthase deficiency
ORPHA:171829	6q16 microdeletion syndrome
ORPHA:251056	6q25 microdeletion syndrome
ORPHA:75857	6q terminal deletion syndrome
ORPHA:314034	7p22.1 microduplication syndrome
DECIPHER:43	7q11.23 duplication syndrome
ORPHA:96121	7q11.23 microduplication syndrome
ORPHA:251066	8p11.2 deletion syndrome
DECIPHER:39	8p23.1 deletion syndrome
DECIPHER:85	8p23.1 duplication syndrome
ORPHA:251076	8p23.1 duplication syndrome
ORPHA:251071	8p23.1 microdeletion syndrome
ORPHA:96092	8p inverted duplication/deletion syndrome
ORPHA:228399	8q12 microduplication syndrome
ORPHA:284160	8q21.11 microdeletion syndrome
ORPHA:178303	8q22.1 microdeletion syndrome
ORPHA:508488	8q24.3 microdeletion syndrome
ORPHA:324313	9p13 microdeletion syndrome
ORPHA:531151	9q21.13 microdeletion syndrome
ORPHA:401923	9q31.1q31.3 microdeletion syndrome
ORPHA:495818	9q33.3q34.11 microdeletion syndrome
DECIPHER:52	9q subtelomeric deletion syndrome
ORPHA:85445	AA amyloidosis
ORPHA:439232	AApoAIV amyloidosis
OMIM:305400	Aarskog-Scott syndrome
ORPHA:915	Aarskog-Scott syndrome
OMIM:100050	AARSKOG SYNDROME
OMIM:100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT
ORPHA:916	Aase-Smith syndrome
OMIM:147800	AASE-SMITH SYNDROME I
OMIM:600501	ABCD SYNDROME
OMIM:600501	ABCD SYNDROME; ABCDS;;ALBINISM, BLACK LOCK, CELL MIGRATION DISORDER OF THE NEUROCYTES OFTHE GUT, AND DEAFNESS
OMIM:100100	ABDOMINAL MUSCLES, ABSENCE OF, WITH URINARY TRACT ABNORMALITY ANDCRYPTORCHIDISM
OMIM:605552	ABDOMINAL OBESITY-METABOLIC SYNDROME 1
OMIM:615812	ABDOMINAL OBESITY-METABOLIC SYNDROME 3; AOMS3
OMIM:615812	ABDOMINAL OBESITY-METABOLIC SYNDROME 3; AOMS3;;CENTRAL OBESITY, TYPE 2 DIABETES, HYPERTENSION, AND EARLY-ONSET CORONARYARTERY DISEASE
OMIM:618620	Abdominal obesity-metabolic syndrome 4
OMIM:615980	ABDOMINAL OBESITY-METABOLIC SYNDROME 4; AOMS4
OMIM:605572	ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 2
OMIM:100200	ABDUCENS PALSY
ORPHA:324723	ABeta amyloidosis, Arctic type
ORPHA:100006	ABeta amyloidosis, Dutch type
ORPHA:324708	ABeta amyloidosis, Iowa type
ORPHA:324713	ABeta amyloidosis, Italian type
ORPHA:324703	ABetaL34V amyloidosis
ORPHA:14	Abetalipoproteinemia
OMIM:200100	ABETALIPOPROTEINEMIA
OMIM:200100	ABETALIPOPROTEINEMIA; ABL;;ACANTHOCYTOSIS;;BASSEN-KORNZWEIG SYNDROME;;MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN DEFICIENCY;;MTP DEFICIENCY
ORPHA:920	Ablepharon macrostomia syndrome
OMIM:200110	Ablepharon-macrostomia syndrome
